Timestamp;INV1-CH_ETOTAL-0 [Wh];INV1-CH_PAC_RAW-0 [W]
2026-06-17 00:00:00;0;0
2026-06-17 00:15:00;0;0
2026-06-17 00:30:00;0;0
2026-06-17 00:45:00;0;0
2026-06-17 01:00:00;0;0
2026-06-17 01:15:00;0;0
2026-06-17 01:30:00;0;0
2026-06-17 01:45:00;0;0
2026-06-17 02:00:00;0;0
2026-06-17 02:15:00;0;0
2026-06-17 02:30:00;0;0
2026-06-17 02:45:00;0;0
2026-06-17 03:00:00;0;0
2026-06-17 03:15:00;0;0
2026-06-17 03:30:00;0;0
2026-06-17 03:45:00;0;0
2026-06-17 04:00:00;0;0
2026-06-17 04:15:00;0;0
2026-06-17 04:30:00;0;0
2026-06-17 04:45:00;0;0
2026-06-17 05:00:00;0;0
2026-06-17 05:15:00;0;0
2026-06-17 05:30:00;0;0
2026-06-17 05:45:00;0;0
2026-06-17 06:00:00;0;0
2026-06-17 06:15:00;52;449
2026-06-17 06:30:00;217;896
2026-06-17 06:45:00;493;1340
2026-06-17 07:00:00;879;1780
2026-06-17 07:15:00;1375;2215
2026-06-17 07:30:00;1979;2642
2026-06-17 07:45:00;2689;3061
2026-06-17 08:00:00;3502;3471
2026-06-17 08:15:00;4417;3870
2026-06-17 08:30:00;5430;4256
2026-06-17 08:45:00;6538;4629
2026-06-17 09:00:00;7737;4988
2026-06-17 09:15:00;9025;5331
2026-06-17 09:30:00;10396;5657
2026-06-17 09:45:00;11847;5965
2026-06-17 10:00:00;13372;6255
2026-06-17 10:15:00;14968;6524
2026-06-17 10:30:00;16629;6774
2026-06-17 10:45:00;18350;7002
2026-06-17 11:00:00;20125;7208
2026-06-17 11:15:00;21949;7391
2026-06-17 11:30:00;23816;7551
2026-06-17 11:45:00;25721;7687
2026-06-17 12:00:00;4000;7799
2026-06-17 12:15:00;5200;7887
2026-06-17 12:30:00;31597;7950
2026-06-17 12:45:00;33590;7987
2026-06-17 13:00:00;35589;8000
2026-06-17 13:15:00;37588;7987
2026-06-17 13:30:00;39581;7950
2026-06-17 13:45:00;41562;7887
2026-06-17 14:00:00;43524;7799
2026-06-17 14:15:00;45462;7687
2026-06-17 14:30:00;47369;7551
2026-06-17 14:45:00;49238;7391
2026-06-17 15:00:00;51066;7208
2026-06-17 15:15:00;52844;7002
2026-06-17 15:30:00;54569;6774
2026-06-17 15:45:00;56234;6524
2026-06-17 16:00:00;57834;6255
2026-06-17 16:15:00;59364;5965
2026-06-17 16:30:00;60820;5657
2026-06-17 16:45:00;62197;5331
2026-06-17 17:00:00;63490;4988
2026-06-17 17:15:00;64696;4629
2026-06-17 17:30:00;65810;4256
2026-06-17 17:45:00;66829;3870
2026-06-17 18:00:00;67751;3471
2026-06-17 18:15:00;68571;3061
2026-06-17 18:30:00;69288;2642
2026-06-17 18:45:00;69899;2215
2026-06-17 19:00:00;70402;1780
2026-06-17 19:15:00;70796;1340
2026-06-17 19:30:00;71079;896
2026-06-17 19:45:00;71251;449
2026-06-17 20:00:00;71311;0
2026-06-17 20:15:00;71311;0
2026-06-17 20:30:00;71311;0
2026-06-17 20:45:00;71311;0
2026-06-17 21:00:00;71311;0
2026-06-17 21:15:00;71311;0
2026-06-17 21:30:00;71311;0
2026-06-17 21:45:00;71311;0
2026-06-17 22:00:00;71311;0
2026-06-17 22:15:00;71311;0
2026-06-17 22:30:00;71311;0
2026-06-17 22:45:00;71311;0
2026-06-17 23:00:00;71311;0
2026-06-17 23:15:00;71311;0
2026-06-17 23:30:00;71311;0
2026-06-17 23:45:00;71311;0
